Audience segment report
"April 18, 2023 - October 8, 2023"
Segment status,Audience segment,Type,Campaign,Ad group,Status,Status reasons,Level,Bid adj.,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,Tennis Enthusiasts,Affinity segment,Search_Campaign_UK,DSA - Search/Website Categories,Eligible,,Ad Group, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Tennis Enthusiasts,Affinity segment,Search_Campaign_UK,DSA - Website Visitiors,Not eligible,Ad group paused,Ad Group, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Men's Apparel,In-market segment,Search_Campaign_UK, --,Eligible,,Campaign, --,4,0,0.00%,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Health & Fitness Buffs,Affinity segment,Search_Campaign_UK, --,Eligible,,Campaign, +10%,"2,062",158,7.66%,AUD,2.03,321.12,3.67%,5.80,55.35
Enabled,Winter Sports Enthusiasts,Affinity segment,Search_Campaign_UK, --,Eligible,,Campaign, --,2,0,0.00%,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Sports & Fitness,In-market segment,Search_Campaign_UK, --,Eligible,,Campaign, --,98,7,7.14%,AUD,1.31,9.16,0.00%,0.00,0.00
Enabled,Running Apparel,In-market segment,Search_Campaign_UK, --,Eligible,,Campaign, --,25,3,12.00%,AUD,1.55,4.66,0.00%,0.00,0.00
Enabled,Swimming Enthusiasts,Affinity segment,Search_Campaign_UK, --,Eligible,,Campaign, --,4,0,0.00%,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Cycling Enthusiasts,Affinity segment,Search_Campaign_UK, --,Eligible,,Campaign, +10%,"2,226",170,7.64%,AUD,1.85,314.92,5.89%,10.02,31.44
Enabled,Travel Buffs,Affinity segment,Search_Campaign_UK, --,Eligible,,Campaign, --,82,7,8.54%,AUD,2.38,16.68,0.00%,0.00,0.00
Enabled,Women's Apparel,In-market segment,Search_Campaign_UK, --,Eligible,,Campaign, --,13,2,15.38%,AUD,1.94,3.87,0.00%,0.00,0.00
Enabled,Sports Fans,Affinity segment,Search_Campaign_UK, --,Eligible,,Campaign, --,96,6,6.25%,AUD,2.38,14.29,16.67%,1.00,14.29
Enabled,Outdoor Enthusiasts,Affinity segment,Search_Campaign_UK, --,Eligible,,Campaign, --,32,2,6.25%,AUD,0.68,1.36,0.00%,0.00,0.00
Enabled,All visitors (AdWords),Website visitors,Search_Campaign_UK, --,Eligible,,Campaign, --,33,5,15.15%,AUD,1.83,9.15,0.00%,0.00,0.00
Enabled,Activewear,In-market segment,Search_Campaign_UK, --,Eligible,,Campaign, --,24,0,0.00%,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Apparel & Accessories,In-market segment,Search_Campaign_UK, --,Eligible,,Campaign, --,180,13,7.22%,AUD,1.46,18.94,0.00%,0.00,0.00
Enabled,All Users,Website visitors,Search_Campaign_UK, --,Eligible,,Campaign, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Men's Media Fans,Affinity segment,Search_Campaign_UK, --,Eligible,,Campaign, --,4,0,0.00%,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Running Enthusiasts,Affinity segment,Search_Campaign_UK, --,Eligible,,Campaign, --,6,1,16.67%,AUD,3.11,3.11,0.00%,0.00,0.00
Enabled,Sports & Fitness,Affinity segment,Search_Campaign_UK, --,Eligible,,Campaign, --,114,3,2.63%,AUD,1.78,5.35,33.33%,1.00,5.35
Enabled,AdWords optimized list,Custom combination segment,Search_Campaign_UK, --,Eligible,,Campaign, --,36,4,11.11%,AUD,0.64,2.56,25.00%,1.00,2.56
